ENGINE,SIZE,MODEL,PREFIX,QUERY,BROKEN,TIME_AVG,TIME_STD
fuseki,5k,list,fuseki-5k-list.list,7,0,32.80,3.52
fuseki,10k,list,fuseki-10k-list.list,8,10,-2.00,E
fuseki,1k,list,fuseki-1k-list.list,8,0,2706.60,30.99
fuseki,2k,list,fuseki-2k-list.list,8,0,11287.20,190.54
fuseki,30k,list,fuseki-30k-list.list,8,10,-2.00,E
fuseki,3k,list,fuseki-3k-list.list,8,0,26321.40,397.83
fuseki,500,list,fuseki-500k-list.list,8,0,821.50,38.29
fuseki,5k,list,fuseki-5k-list.list,8,0,76054.90,294.99
fuseki,10k,list,fuseki-10k-list.list,9,10,-2.00,E
fuseki,1k,list,fuseki-1k-list.list,9,0,5346.50,73.93
fuseki,2k,list,fuseki-2k-list.list,9,0,21630.30,165.33
fuseki,30k,list,fuseki-30k-list.list,9,10,-2.00,E
fuseki,3k,list,fuseki-3k-list.list,9,0,50342.70,182.66
fuseki,500,list,fuseki-500k-list.list,9,0,1629.60,20.23
fuseki,5k,list,fuseki-5k-list.list,9,0,146528.80,2142.03
fuseki_hdt,1k,list,fuseki_hdt-1k-list.list,1,10,-2.00,E
fuseki_hdt,1k,list,fuseki_hdt-1k-list.list,2,10,-2.00,E
fuseki_hdt,1k,list,fuseki_hdt-1k-list.list,3,10,-2.00,E
fuseki_hdt,1k,list,fuseki_hdt-1k-list.list,4,10,-2.00,E
fuseki_hdt,1k,list,fuseki_hdt-1k-list.list,5,10,-2.00,E
fuseki_hdt,1k,list,fuseki_hdt-1k-list.list,6,10,-2.00,E
fuseki_hdt,1k,list,fuseki_hdt-1k-list.list,7,10,-2.00,E
fuseki_hdt,1k,list,fuseki_hdt-1k-list.list,8,10,-2.00,E
fuseki_hdt,1k,list,fuseki_hdt-1k-list.list,9,10,-2.00,E
fuseki_mem,10k,list,fuseki_mem-10k-list.list,1,0,16.60,3.50
fuseki_mem,1k,list,fuseki_mem-1k-list.list,1,0,23.60,14.17
fuseki_mem,2k,list,fuseki_mem-2k-list.list,1,0,16.50,3.83
fuseki_mem,3k,list,fuseki_mem-3k-list.list,1,0,14.50,2.42
fuseki_mem,500,list,fuseki_mem-500k-list.list,1,0,26.50,13.10
fuseki_mem,5k,list,fuseki_mem-5k-list.list,1,0,15.20,1.66
fuseki_mem,10k,list,fuseki_mem-10k-list.list,2,10,-2.00,E
fuseki_mem,1k,list,fuseki_mem-1k-list.list,2,0,46404.50,13405.42
fuseki_mem,2k,list,fuseki_mem-2k-list.list,2,0,23774.30,143.83
fuseki_mem,3k,list,fuseki_mem-3k-list.list,2,0,54725.20,200.70
fuseki_mem,500,list,fuseki_mem-500k-list.list,2,0,1608.20,1240.42
fuseki_mem,5k,list,fuseki_mem-5k-list.list,2,0,129584.80,1740.78
fuseki_mem,10k,list,fuseki_mem-10k-list.list,3,10,-2.00,E
fuseki_mem,1k,list,fuseki_mem-1k-list.list,3,0,38955.70,4719.68
fuseki_mem,2k,list,fuseki_mem-2k-list.list,3,0,24048.30,236.56
fuseki_mem,3k,list,fuseki_mem-3k-list.list,3,0,57729.90,1499.62
fuseki_mem,500,list,fuseki_mem-500k-list.list,3,0,1179.60,37.39
fuseki_mem,5k,list,fuseki_mem-5k-list.list,3,0,138462.70,2656.21
fuseki_mem,10k,list,fuseki_mem-10k-list.list,4,10,-2.00,E
fuseki_mem,1k,list,fuseki_mem-1k-list.list,4,0,6221.90,799.76
fuseki_mem,2k,list,fuseki_mem-2k-list.list,4,0,23491.50,79.93
fuseki_mem,3k,list,fuseki_mem-3k-list.list,4,0,57660.70,286.20
fuseki_mem,500,list,fuseki_mem-500k-list.list,4,0,1153.10,17.63
fuseki_mem,5k,list,fuseki_mem-5k-list.list,4,0,136128.30,1659.63
fuseki_mem,10k,list,fuseki_mem-10k-list.list,5,10,-2.00,E
fuseki_mem,1k,list,fuseki_mem-1k-list.list,5,0,28.00,10.51
fuseki_mem,2k,list,fuseki_mem-2k-list.list,5,0,23.70,3.87
fuseki_mem,3k,list,fuseki_mem-3k-list.list,5,0,31.20,4.81
fuseki_mem,500,list,fuseki_mem-500k-list.list,5,0,24.40,8.09
fuseki_mem,5k,list,fuseki_mem-5k-list.list,5,0,36.80,3.52
fuseki_mem,10k,list,fuseki_mem-10k-list.list,6,0,15.10,2.07
fuseki_mem,1k,list,fuseki_mem-1k-list.list,6,0,19.00,2.10
fuseki_mem,2k,list,fuseki_mem-2k-list.list,6,0,17.90,3.62
fuseki_mem,3k,list,fuseki_mem-3k-list.list,6,0,17.20,3.82
fuseki_mem,500,list,fuseki_mem-500k-list.list,6,0,21.50,3.41
fuseki_mem,5k,list,fuseki_mem-5k-list.list,6,0,13.40,0.66
fuseki_mem,10k,list,fuseki_mem-10k-list.list,7,0,14.50,2.01
fuseki_mem,1k,list,fuseki_mem-1k-list.list,7,0,18.20,1.89
fuseki_mem,2k,list,fuseki_mem-2k-list.list,7,0,16.80,2.99
fuseki_mem,3k,list,fuseki_mem-3k-list.list,7,0,14.70,2.10
fuseki_mem,500,list,fuseki_mem-500k-list.list,7,0,20.00,3.46
fuseki_mem,5k,list,fuseki_mem-5k-list.list,7,0,13.20,0.75
fuseki_mem,10k,list,fuseki_mem-10k-list.list,8,10,-2.00,E
fuseki_mem,1k,list,fuseki_mem-1k-list.list,8,0,11482.70,7333.67
fuseki_mem,2k,list,fuseki_mem-2k-list.list,8,0,4487.10,28.13
fuseki_mem,3k,list,fuseki_mem-3k-list.list,8,0,11191.80,222.73
fuseki_mem,500,list,fuseki_mem-500k-list.list,8,0,345.90,21.72
fuseki_mem,5k,list,fuseki_mem-5k-list.list,8,0,33846.20,1035.07
fuseki_mem,10k,list,fuseki_mem-10k-list.list,9,10,-2.00,E
fuseki_mem,1k,list,fuseki_mem-1k-list.list,9,0,18898.60,2848.03
fuseki_mem,2k,list,fuseki_mem-2k-list.list,9,0,8728.00,108.92
fuseki_mem,3k,list,fuseki_mem-3k-list.list,9,0,21462.90,362.27
fuseki_mem,500,list,fuseki_mem-500k-list.list,9,0,713.80,19.72
fuseki_mem,5k,list,fuseki_mem-5k-list.list,9,0,64339.40,692.84
virtuoso,10k,list,virtuoso-10k-list.list,1,0,13.80,2.27
virtuoso,1k,list,virtuoso-1k-list.list,1,0,13.80,2.48
virtuoso,2k,list,virtuoso-2k-list.list,1,0,16.00,2.86
virtuoso,30k,list,virtuoso-30k-list.list,1,0,14.00,3.46
virtuoso,3k,list,virtuoso-3k-list.list,1,0,13.90,2.39
virtuoso,500,list,virtuoso-500k-list.list,1,0,15.90,4.06
virtuoso,5k,list,virtuoso-5k-list.list,1,0,31.90,58.72
virtuoso,10k,list,virtuoso-10k-list.list,2,10,-2.00,E
virtuoso,1k,list,virtuoso-1k-list.list,2,0,17183.60,633.90
virtuoso,2k,list,virtuoso-2k-list.list,2,0,159166.70,1298.10
virtuoso,30k,list,virtuoso-30k-list.list,2,10,-2.00,E
virtuoso,3k,list,virtuoso-3k-list.list,2,10,-2.00,E
virtuoso,500,list,virtuoso-500k-list.list,2,0,834.00,11.90
virtuoso,5k,list,virtuoso-5k-list.list,2,10,-2.00,E
virtuoso,10k,list,virtuoso-10k-list.list,3,10,-2.00,E
virtuoso,1k,list,virtuoso-1k-list.list,3,0,17140.60,375.44
virtuoso,2k,list,virtuoso-2k-list.list,3,0,146361.90,4524.01
virtuoso,30k,list,virtuoso-30k-list.list,3,10,-2.00,E
virtuoso,3k,list,virtuoso-3k-list.list,3,10,-2.00,E
virtuoso,500,list,virtuoso-500k-list.list,3,0,891.80,13.73
virtuoso,5k,list,virtuoso-5k-list.list,3,10,-2.00,E
virtuoso,10k,list,virtuoso-10k-list.list,4,10,-2.00,E
virtuoso,1k,list,virtuoso-1k-list.list,4,0,17097.40,705.64
virtuoso,2k,list,virtuoso-2k-list.list,4,0,143865.00,666.19
virtuoso,30k,list,virtuoso-30k-list.list,4,10,-2.00,E
virtuoso,3k,list,virtuoso-3k-list.list,4,10,-2.00,E
virtuoso,500,list,virtuoso-500k-list.list,4,0,881.60,13.17
virtuoso,5k,list,virtuoso-5k-list.list,4,10,-2.00,E
virtuoso,10k,list,virtuoso-10k-list.list,5,0,1782.90,14.83
virtuoso,1k,list,virtuoso-1k-list.list,5,0,58.60,3.90
virtuoso,2k,list,virtuoso-2k-list.list,5,0,126.30,3.55
virtuoso,30k,list,virtuoso-30k-list.list,5,0,15087.20,94.53
virtuoso,3k,list,virtuoso-3k-list.list,5,0,224.70,3.32
virtuoso,500,list,virtuoso-500k-list.list,5,0,54.90,63.86
virtuoso,5k,list,virtuoso-5k-list.list,5,0,520.10,9.06
virtuoso,10k,list,virtuoso-10k-list.list,6,0,16.00,2.97
virtuoso,1k,list,virtuoso-1k-list.list,6,0,14.90,2.21
virtuoso,2k,list,virtuoso-2k-list.list,6,0,16.40,3.04
virtuoso,30k,list,virtuoso-30k-list.list,6,0,17.70,5.35
virtuoso,3k,list,virtuoso-3k-list.list,6,0,15.60,1.96
virtuoso,500,list,virtuoso-500k-list.list,6,0,14.50,3.11
virtuoso,5k,list,virtuoso-5k-list.list,6,0,16.50,2.29
virtuoso,10k,list,virtuoso-10k-list.list,7,0,17.30,2.65
virtuoso,1k,list,virtuoso-1k-list.list,7,0,17.50,2.69
virtuoso,2k,list,virtuoso-2k-list.list,7,0,15.70,2.72
virtuoso,30k,list,virtuoso-30k-list.list,7,0,16.00,4.10
virtuoso,3k,list,virtuoso-3k-list.list,7,0,20.20,4.77
virtuoso,500,list,virtuoso-500k-list.list,7,0,17.40,2.76
virtuoso,5k,list,virtuoso-5k-list.list,7,0,15.50,2.80
virtuoso,10k,list,virtuoso-10k-list.list,8,10,-2.00,E
virtuoso,1k,list,virtuoso-1k-list.list,8,0,17585.90,268.69
virtuoso,2k,list,virtuoso-2k-list.list,8,0,148189.90,3008.70
virtuoso,30k,list,virtuoso-30k-list.list,8,10,-2.00,E
virtuoso,3k,list,virtuoso-3k-list.list,8,10,-2.00,E
virtuoso,500,list,virtuoso-500k-list.list,8,0,879.00,17.36
virtuoso,5k,list,virtuoso-5k-list.list,8,10,-2.00,E
virtuoso,10k,list,virtuoso-10k-list.list,9,10,-2.00,E
virtuoso,1k,list,virtuoso-1k-list.list,9,0,16765.70,245.99
virtuoso,2k,list,virtuoso-2k-list.list,9,0,145936.40,563.69
virtuoso,30k,list,virtuoso-30k-list.list,9,10,-2.00,E
virtuoso,3k,list,virtuoso-3k-list.list,9,10,-2.00,E
virtuoso,500,list,virtuoso-500k-list.list,9,0,879.30,29.95
virtuoso,5k,list,virtuoso-5k-list.list,9,10,-2.00,E
blazegraph,10k,prop_number,blazegraph-10k-prop_number.prop_number,1,0,89.40,9.79
blazegraph,1k,prop_number,blazegraph-1k-prop_number.prop_number,1,0,47.60,6.10
blazegraph,2k,prop_number,blazegraph-2k-prop_number.prop_number,1,0,45.40,6.22
blazegraph,3k,prop_number,blazegraph-3k-prop_number.prop_number,1,0,47.80,7.01
blazegraph,500,prop_number,blazegraph-500k-prop_number.prop_number,1,0,34.50,4.54
blazegraph,5k,prop_number,blazegraph-5k-prop_number.prop_number,1,0,64.80,7.01
blazegraph,10k,prop_number,blazegraph-10k-prop_number.prop_number,2,0,102.40,11.06
blazegraph,1k,prop_number,blazegraph-1k-prop_number.prop_number,2,0,48.70,7.47
blazegraph,2k,prop_number,blazegraph-2k-prop_number.prop_number,2,0,41.60,5.18
blazegraph,3k,prop_number,blazegraph-3k-prop_number.prop_number,2,0,50.30,3.72
blazegraph,500,prop_number,blazegraph-500k-prop_number.prop_number,2,0,33.10,3.33
blazegraph,5k,prop_number,blazegraph-5k-prop_number.prop_number,2,0,57.40,8.51
blazegraph,10k,prop_number,blazegraph-10k-prop_number.prop_number,3,0,183.40,13.28
blazegraph,1k,prop_number,blazegraph-1k-prop_number.prop_number,3,0,47.50,6.76
blazegraph,2k,prop_number,blazegraph-2k-prop_number.prop_number,3,0,52.50,7.35
blazegraph,3k,prop_number,blazegraph-3k-prop_number.prop_number,3,0,71.20,6.18
blazegraph,500,prop_number,blazegraph-500k-prop_number.prop_number,3,0,38.80,5.36
blazegraph,5k,prop_number,blazegraph-5k-prop_number.prop_number,3,0,83.30,12.02
blazegraph,10k,prop_number,blazegraph-10k-prop_number.prop_number,4,0,186.80,94.43
blazegraph,1k,prop_number,blazegraph-1k-prop_number.prop_number,4,0,43.40,6.99
blazegraph,2k,prop_number,blazegraph-2k-prop_number.prop_number,4,0,47.30,4.98
blazegraph,3k,prop_number,blazegraph-3k-prop_number.prop_number,4,0,63.60,13.32
blazegraph,500,prop_number,blazegraph-500k-prop_number.prop_number,4,0,36.70,6.51
blazegraph,5k,prop_number,blazegraph-5k-prop_number.prop_number,4,0,72.80,4.98
blazegraph,10k,prop_number,blazegraph-10k-prop_number.prop_number,5,0,47.20,5.36
blazegraph,1k,prop_number,blazegraph-1k-prop_number.prop_number,5,0,47.50,2.97
blazegraph,2k,prop_number,blazegraph-2k-prop_number.prop_number,5,0,41.50,1.91
blazegraph,3k,prop_number,blazegraph-3k-prop_number.prop_number,5,0,46.20,4.81
blazegraph,500,prop_number,blazegraph-500k-prop_number.prop_number,5,0,43.70,5.85
blazegraph,5k,prop_number,blazegraph-5k-prop_number.prop_number,5,0,43.70,3.10
blazegraph,10k,prop_number,blazegraph-10k-prop_number.prop_number,6,0,36.30,6.60
blazegraph,1k,prop_number,blazegraph-1k-prop_number.prop_number,6,0,33.20,2.56
blazegraph,2k,prop_number,blazegraph-2k-prop_number.prop_number,6,0,30.50,4.98
blazegraph,3k,prop_number,blazegraph-3k-prop_number.prop_number,6,0,30.80,3.54
blazegraph,500,prop_number,blazegraph-500k-prop_number.prop_number,6,0,32.40,3.61
blazegraph,5k,prop_number,blazegraph-5k-prop_number.prop_number,6,0,29.70,2.61
blazegraph,500,prop_number,blazegraph-500k-prop_number.prop_number,7,0,197.00,22.11
blazegraph,10k,prop_number,blazegraph-10k-prop_number.prop_number,7,0,2540.80,59.59
blazegraph,1k,prop_number,blazegraph-1k-prop_number.prop_number,7,0,300.70,21.85
blazegraph,2k,prop_number,blazegraph-2k-prop_number.prop_number,7,0,575.80,29.67
blazegraph,3k,prop_number,blazegraph-3k-prop_number.prop_number,7,0,783.20,26.28
blazegraph,5k,prop_number,blazegraph-5k-prop_number.prop_number,7,0,1233.30,44.08
blazegraph,10k,prop_number,blazegraph-10k-prop_number.prop_number,8,0,54.10,40.01
blazegraph,1k,prop_number,blazegraph-1k-prop_number.prop_number,8,0,31.10,3.78
blazegraph,2k,prop_number,blazegraph-2k-prop_number.prop_number,8,0,30.20,5.95
blazegraph,3k,prop_number,blazegraph-3k-prop_number.prop_number,8,0,31.20,5.78
blazegraph,500,prop_number,blazegraph-500k-prop_number.prop_number,8,0,31.70,5.24
blazegraph,5k,prop_number,blazegraph-5k-prop_number.prop_number,8,0,32.40,3.88
blazegraph,10k,prop_number,blazegraph-10k-prop_number.prop_number,9,0,613.50,13.83
blazegraph,1k,prop_number,blazegraph-1k-prop_number.prop_number,9,0,124.50,11.56
blazegraph,2k,prop_number,blazegraph-2k-prop_number.prop_number,9,0,216.20,8.84
